subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,0,0.0,-121.409464
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,1,0.071043,26.229918
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,2,0.142086,46.107283
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,3,0.213129,-122.378424
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,4,0.284172,64.911076
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,5,0.355215,129.744578
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_152.wav,0,False,2779,6,0.426259,51.632825
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,0,0.0,-99.515509
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,1,0.071043,-34.266668
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,2,0.142086,14.847828
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,3,0.213129,69.933849
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,4,0.284172,112.308778
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,5,0.355215,84.391608
Auregan,7,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_15.wav,1,True,2779,6,0.426259,-74.68715
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,0,0.0,144.136513
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,1,0.071043,-64.103106
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,2,0.142086,-98.673112
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,3,0.213129,-23.920097
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,4,0.284172,-49.884553
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,5,0.355215,-104.927811
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_38.wav,0,False,865,6,0.426259,133.075001
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,0,0.0,40.484109
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,1,0.071043,-10.250913
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,2,0.142086,-109.726305
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,3,0.213129,-32.205058
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,4,0.284172,141.461363
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,5,0.355215,65.199031
Auregan,8,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_166.wav,1,True,865,6,0.426259,-54.014549
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,0,0.0,-66.984077
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,1,0.071043,5.429279
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,2,0.142086,12.572717
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,3,0.213129,-71.562953
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,4,0.284172,-107.999901
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,5,0.355215,86.606735
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_13.wav,0,True,1092,6,0.426259,-82.122177
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,0,0.0,-59.283835
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,1,0.071043,33.418752
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,2,0.142086,-98.686452
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,3,0.213129,137.870403
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,4,0.284172,-113.384751
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,5,0.355215,-122.497954
Auregan,9,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_10.wav,1,False,1092,6,0.426259,-121.154526
